Code,consumption
AUS,45.1458924592961
CAN,34.6685498542252
JPN,14.488577098035199
KOR,16.8750998761004
MEX,26.610340175832
NZL,38.17957751027021
TUR,17.7974771694983
USA,47.7563331760472
DZA,6.28100282884642
ARG,37.4989037682049
BGD,1.2519956567308999
BRA,39.8958695844217
CHL,34.7612479462397
CHN,12.4011788521746
COL,27.520754745581304
EGY,9.157026238205109
ETH,0.540162419617581
GHA,6.297444312994259
HTI,7.00213085362732
IND,2.00099968386959
IDN,6.802380321719
IRN,22.5724992292724
ISR,56.867477571773
KAZ,13.939857194025901
MYS,41.77988280283721
MOZ,1.81766957547047
NGA,0.908140035289287
PAK,4.48424083684171
PRY,6.05233206379888
PER,38.3342275925825
PHL,12.1603641728679
RUS,28.8609439793895
SAU,44.7106052276773
ZAF,32.5499213486957
SDN,0.00099378011
TZA,1.4754985152783102
THA,10.0226457124907
UKR,23.669710657332395
URY,16.3651101642911
VNM,14.0263427476966
ZMB,2.59960046952763
WLD,13.841554113077299
SSA,2.12127126700775
OECD,30.0812925288982
BRICS,10.8877263424405
EU28,24.4836923245751
